ID,Absatz
,Determinismus
3.651,Antithesis.
3.713,Antithesis.
3.672,Antithesis.
3.693,Antithesis.
1.994,Additamenta problematis IX.
9.1986,3. Wismuth
1.967,Idem aliter.
1.1163,PROP. II. THEOREMA. Corpora constant monadibus.
2.761,SECTIO V. De methodo circa sensitiva et intellectualia in metaphysicis.
3.735,Auf der Seite also des Dogmatismus in Bestimmung der kosmologischen Vernunftideen oder der Thesis zeigt sich
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
4.1029,"2) eine Materie, nämlich einen Zweck, und daß sagt die Formel: da das vernünftige Wesen als Zweck seiner Natur nach, mithin als Zweck an sich selbst jeder Maxime zur einschränkenden Bedingung aller bloß relativen und willkürlichen Zwecke dienen müsse;"
9.640,"Das Princip, worauf die Möglichkeit und Gültigkeit aller kategorischen Vernunftschlüsse beruht, ist dieses:"
3.964,"Die natürliche Theologie schließt auf die Eigenschaften und das Dasein eines Welturhebers aus der Beschaffenheit, der Ordnung und Einheit, die in dieser Welt angetroffen wird, in welcher zweierlei Causalität und deren Regel angenommen werden muß, nämlich Natur und Freiheit. Daher steigt sie von dieser Welt zur höchsten Intelligenz auf, entweder als dem Princip aller natürlichen, oder aller sittlichen Ordnung und Vollkommenheit. Im ersteren Falle heißt sie Physikotheologie, im letzten Moraltheologie *) ."
3.1177,"Glückseligkeit also in dem genauen Ebenmaße mit der Sittlichkeit der vernünftigen Wesen, dadurch sie derselben würdig sind, macht allein das höchste Gut einer Welt aus, darin wir uns nach den Vorschriften der reinen, aber praktischen Vernunft durchaus versetzen müssen, und welche freilich nur eine intelligibele Welt ist, da die Sinnenwelt uns von der Natur der Dinge dergleichen systematische Einheit der Zwecke nicht verheißt, deren Realität auch auf nichts andres gegründet werden kann, als auf die Voraussetzung eines höchsten ursprünglichen Guts, da selbstständige Vernunft, mit aller Zulänglichkeit einer obersten Ursache ausgerüstet, nach der vollkommensten Zweckmäßigkeit die allgemeine, obgleich in der Sinnenwelt uns sehr verborgene Ordnung der Dinge gründet, erhält und vollführt."
