ID,Absatz
,Determinismus
1.1022,DEMONSTRATIO.
1.958,DEFINITIO.
1.939,RATIO INSTITUTI.
1.865,INSTITUTI RATIO.
1.1038,DILUCIDATIO.
1.1026,DILUCIDATIO.
9.729,§. 90. Trugschluß - Paralogismus - Sophisma.
9.2218,Abyssinien.
1.893,Experientia.
1.989,Confutatio dubiorum.
,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
5.334,Gesammte Vermögen des Gemüths Erkenntnißvermögen Gefühl der Lust und Unlust Begehrungsvermögen Erkenntnißvermögen Verstand Urteilskraft Vernunft Principien a priori Gesetzmäßkeit Zweckmäßkeit Endzweck Anwendung auf Natur Kunst Freiheit.
6.999,"Aus unserer aufrichtigen und genauen Vergleichung mit dem moralischen Gesetz (dessen Heiligkeit und Strenge) muß unvermeidlich wahre Demuth folgen: aber daraus, daß wir einer solchen inneren Gesetzgebung fähig sind, daß der (physische) Mensch den (moralischen) Menschen in seiner eigenen Person zu verehren sich gedrungen fühlt, zugleich Erhebung und die höchste Selbstschätzung, als Gefühl seines inneren Werths ( valor ), nach welchem er für keinen Preis ( pretium ) feil ist und eine unverlierbare Würde ( dignitas interna ) besitzt, die ihm Achtung ( reverentia ) gegen sich selbst einflößt."
2.566,"Vierte Betrachtung. Von der Deutlichkeit und Gewißheit, deren die erste Gründe der natürlichen Gottesgelahrtheit und Moral fähig sind."
9.286,"Übrigens müssen wir hier die logische Wichtigkeit und Fruchtbarkeit von der praktischen, der Nützlichkeit und Brauchbarkeit unterscheiden."
6.1047,"Diese Pflicht gegen sich selbst ist eine der Qualität nach enge und vollkommene, obgleich dem Grade nach weite und unvollkommene Pflicht und das wegen der Gebrechlichkeit ( fragilitas ) der menschlichen Natur."
7.729,"Phlegma, als Schwäche, ist Hang zur Unthätigkeit, sich durch selbst starke Triebfedern zu Geschäften nicht bewegen zu lassen. Die Unempfindlichkeit dafür ist willkürliche Unnützlichkeit, und die Neigungen gehen nur auf Sättigung und Schlaf."
6.317,Verbindlichkeit ist die Nothwendigkeit einer freien Handlung unter einem kategorischen Imperativ der Vernunft.
6.997,"Das Bewußtsein und Gefühl der Geringfähigkeit seines moralischen Werths in Vergleichung mit dem Gesetz ist die Demuth ( humilitas moralis ). Die Überredung von einer Größe dieses seines Werths, aber nur aus Mangel der Vergleichung mit dem Gesetz, kann der Tugendstolz ( arrogantia moralis ) genannt werden. - Die Entsagung alles Anspruchs auf irgend einen moralischen Werth seiner selbst in der Überredung, sich eben dadurch einen geborgten zu erwerben, ist die sittlich-falsche Kriecherei ( humilitas spuria )."
6.937,"Die, wenn gleich nicht vornehmste, doch erste Pflicht des Menschen gegen sich selbst in der Qualität seiner Thierheit ist die Selbsterhaltung in seiner animalischen Natur."
6.794,"Nun ist das Vermögen und der überlegte Vorsatz einem starken, aber ungerechten Gegner Widerstand zu thun die Tapferkeit ( fortitudo ) und in Ansehung des Gegners der sittlichen Gesinnung in uns Tugend ( virtus, fortitudo moralis ). Also ist die allgemeine Pflichtenlehre in dem Theil, der nicht die äußere Freiheit, sondern die innere unter Gesetze bringt, eine Tugendlehre."
,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
9.632,"Das Unterscheidende unter den drei gedachten Arten von Vernunftschlüssen liegt im Obersatze. In kategorischen Vernunftschlüssen ist der Major ein kategorischer, in hypothetischen ist er ein hypothetischer oder problematischer, und in disjunctiven ein disjunctiver Satz."
4.610,Vorerinnerung von dem Eigenthümlichen aller metaphysischen Erkenntniß.
9.628,"Und hierauf gründet sich die Eintheilung aller Vernunftschlüsse in kategorische, hypothetische und disjunctive."
9.301,"Die extensive Größe der Deutlichkeit, sofern sie nicht abundant ist, heißt Präcision (Abgemessenheit). Die Ausführlichkeit ( completudo ) und Abgemessenheit ( praecisio ) zusammen machen die Angemessenheit aus ( cognitionem, quae rem adaequat ); und in der intensiv adäquaten Erkenntniß, in der Profundität, verbunden mit der extensiv adäquaten in der Ausführlichkeit und Präcision, besteht (der Qualität nach) die vollendete Vollkommenheit eines Erkenntnisses ( consummata cognitionis perfectio )."
